ids,labels,parents,values
Reggae1970,Reggae,reggae1970,1
R&B1970,R&B,1970,1
gospel1970,gospel,1970,1
Gospel1970,Gospel,gospel1970,1
dupstep1970,dupstep,1970,0
rap1970,rap,1970,5
Rap Rock1970,Rap Rock,rap1970,1
Midwest Rap1970,Midwest Rap,rap1970,1
Trap1970,Trap,rap1970,1
Pop-Rap1970,Pop-Rap,rap1970,1
Gangsta Rap1970,Gangsta Rap,rap1970,1
folk1970,folk,1970,8
Folk Punk1970,Folk Punk,folk1970,1
Italian Folk1970,Italian Folk,folk1970,1
Neofolk‏‎1970,Neofolk‏‎,folk1970,1
Neofolk1970,Neofolk,folk1970,1
Irish Folk1970,Irish Folk,folk1970,1
Folk Metal1970,Folk Metal,folk1970,1
Folk Rock1970,Folk Rock,folk1970,1
Folk1970,Folk,folk1970,1
bossa nova1970,bossa nova,1970,1
Bossa Nova1970,Bossa Nova,bossa nova1970,1
1980,1980,,534
hip hop1980,hip hop,1980,5
Hip Hop1980,Hip Hop,hip hop1980,1
French Hip Hop1980,French Hip Hop,hip hop1980,1
Political Hip Hop1980,Political Hip Hop,hip hop1980,1
Australian Hip Hop1980,Australian Hip Hop,hip hop1980,1
Alternative Hip Hop1980,Alternative Hip Hop,hip hop1980,1
pop rock1980,pop rock,1980,1
Pop Rock1980,Pop Rock,pop rock1980,1
rock1980,rock,1980,35
Rap Rock1980,Rap Rock,rock1980,1
Garage Rock1980,Garage Rock,rock1980,1
Deutschrock1980,Deutschrock,rock1980,1
Soft Rock1980,Soft Rock,rock1980,1
Blues Rock1980,Blues Rock,rock1980,1
Indie Rock1980,Indie Rock,rock1980,1
Pop Rock1980,Pop Rock,rock1980,1
Stoner Rock1980,Stoner Rock,rock1980,1
Gothic Rock1980,Gothic Rock,rock1980,1
Comedy Rock1980,Comedy Rock,rock1980,1
Art Rock1980,Art Rock,rock1980,1
Southern Rock1980,Southern Rock,rock1980,1
Hard Rock1980,Hard Rock,rock1980,1
Rock1980,Rock,rock1980,1
Christian Rock1980,Christian Rock,rock1980,1
Psychedelic Rock1980,Psychedelic Rock,rock1980,1
Country Rock1980,Country Rock,rock1980,1
Noise Rock1980,Noise Rock,rock1980,1
Arena Rock1980,Arena Rock,rock1980,1
Experimental Rock1980,Experimental Rock,rock1980,1
Rock 'N' Roll1980,Rock 'N' Roll,rock1980,1
Post-Rock1980,Post-Rock,rock1980,1
Punk Rock1980,Punk Rock,rock1980,1
Piano Rock1980,Piano Rock,rock1980,1
Alternative Rock1980,Alternative Rock,rock1980,1
Electronic Rock1980,Electronic Rock,rock1980,1
Samba-Rock1980,Samba-Rock,rock1980,1
Glam Rock1980,Glam Rock,rock1980,1
Rockabilly1980,Rockabilly,rock1980,1
Latin Rock1980,Latin Rock,rock1980,1
Industrial Rock1980,Industrial Rock,rock1980,1
Symphonic Rock1980,Symphonic Rock,rock1980,1
Brazilian Rock1980,Brazilian Rock,rock1980,1
Progressive Rock1980,Progressive Rock,rock1980,1
Folk Rock1980,Folk Rock,rock1980,1
metal1980,metal,1980,22
Progressive Metal1980,Progressive Metal,metal1980,1
Industrial Metal1980,Industrial Metal,metal1980,1
Symphonic Metal1980,Symphonic Metal,metal1980,1
Doom Metal1980,Doom Metal,metal1980,1
Avant-garde Metal1980,Avant-garde Metal,metal1980,1
Christian Metal1980,Christian Metal,metal1980,1
Pagan Metal1980,Pagan Metal,metal1980,1
Death Metal1980,Death Metal,metal1980,1
Glam Metal1980,Glam Metal,metal1980,1
Gothic Metal1980,Gothic Metal,metal1980,1
Alternative Metal1980,Alternative Metal,metal1980,1
Black Metal1980,Black Metal,metal1980,1
Folk Metal1980,Folk Metal,metal1980,1
Viking Metal1980,Viking Metal,metal1980,1
Power Metal1980,Power Metal,metal1980,1
Post-Metal1980,Post-Metal,metal1980,1
Heavy Metal1980,Heavy Metal,metal1980,1
Thrash Metal1980,Thrash Metal,metal1980,1
Technical Death Metal1980,Technical Death Metal,metal1980,1
Groove Metal1980,Groove Metal,metal1980,1
Symphonic Black Metal1980,Symphonic Black Metal,metal1980,1
Metalcore1980,Metalcore,metal1980,1
electronic1980,electronic,1980,4
Electronicore1980,Electronicore,electronic1980,1
Electronic Rock1980,Electronic Rock,electronic1980,1
Electronic1980,Electronic,electronic1980,1
Electronica1980,Electronica,electronic1980,1
pop1980,pop,1980,21
Britpop1980,Britpop,pop1980,1
J-Pop1980,J-Pop,pop1980,1
Pop Rock1980,Pop Rock,pop1980,1
Synthpop1980,Synthpop,pop1980,1
Indie Pop1980,Indie Pop,pop1980,1
Pop-Rap1980,Pop-Rap,pop1980,1
Bubblegum Pop1980,Bubblegum Pop,pop1980,1
French Pop1980,French Pop,pop1980,1
Electropop1980,Electropop,pop1980,1
Dance-Pop1980,Dance-Pop,pop1980,1
Power Pop1980,Power Pop,pop1980,1
Baroque Pop1980,Baroque Pop,pop1980,1
Latin Pop1980,Latin Pop,pop1980,1
Psychedelic Pop1980,Psychedelic Pop,pop1980,1
Classic Pop1980,Classic Pop,pop1980,1
Pop1980,Pop,pop1980,1
Dream Pop1980,Dream Pop,pop1980,1
Futurepop1980,Futurepop,pop1980,1
Pop Punk1980,Pop Punk,pop1980,1
Country Pop1980,Country Pop,pop1980,1
Europop1980,Europop,pop1980,1
country1980,country,1980,5
Country1980,Country,country1980,1
Alternative Country1980,Alternative Country,country1980,1
Country Rock1980,Country Rock,country1980,1
Country Blues1980,Country Blues,country1980,1
Country Pop1980,Country Pop,country1980,1
blues1980,blues,1980,8
Chicago Blues1980,Chicago Blues,blues1980,1
Soul Blues1980,Soul Blues,blues1980,1
Country Blues1980,Country Blues,blues1980,1
Electric Blues1980,Electric Blues,blues1980,1
Piedmont Blues1980,Piedmont Blues,blues1980,1
Blues Rock1980,Blues Rock,blues1980,1
Delta Blues1980,Delta Blues,blues1980,1
Blues1980,Blues,blues1980,1
soul1980,soul,1980,3
Soul1980,Soul,soul1980,1
Blue-Eyed Soul1980,Blue-Eyed Soul,soul1980,1
Soul Blues1980,Soul Blues,soul1980,1
classical1980,classical,1980,2
Classical1980,Classical,classical1980,1
Indian Classical Music1980,Indian Classical Music,classical1980,1
techno1980,techno,1980,1
Techno1980,Techno,techno1980,1
jazz1980,jazz,1980,4
Jazz1980,Jazz,jazz1980,1
Trad Jazz1980,Trad Jazz,jazz1980,1
Jazz Fusion1980,Jazz Fusion,jazz1980,1
Vocal Jazz1980,Vocal Jazz,jazz1980,1
punk1980,punk,1980,10
Punk Rock1980,Punk Rock,punk1980,1
Post-Punk1980,Post-Punk,punk1980,1
Folk Punk1980,Folk Punk,punk1980,1
Hardcore Punk1980,Hardcore Punk,punk1980,1
Street Punk1980,Street Punk,punk1980,1
Deutschpunk1980,Deutschpunk,punk1980,1
Pop Punk1980,Pop Punk,punk1980,1
Horror Punk1980,Horror Punk,punk1980,1
Ska Punk1980,Ska Punk,punk1980,1
Electropunk1980,Electropunk,punk1980,1
funk1980,funk,1980,3
Funk Melody1980,Funk Melody,funk1980,1
Funk1980,Funk,funk1980,1
Funk Carioca1980,Funk Carioca,funk1980,1
disco1980,disco,1980,2
Disco1980,Disco,disco1980,1
Italo Disco1980,Italo Disco,disco1980,1
reggae1980,reggae,1980,1
Reggae1980,Reggae,reggae1980,1
R&B1980,R&B,1980,1
gospel1980,gospel,1980,1
Gospel1980,Gospel,gospel1980,1
dupstep1980,dupstep,1980,0
rap1980,rap,1980,5
Rap Rock1980,Rap Rock,rap1980,1
Midwest Rap1980,Midwest Rap,rap1980,1
Trap1980,Trap,rap1980,1
Pop-Rap1980,Pop-Rap,rap1980,1
Gangsta Rap1980,Gangsta Rap,rap1980,1
folk1980,folk,1980,8
Folk Punk1980,Folk Punk,folk1980,1
Italian Folk1980,Italian Folk,folk1980,1
