ids,labels,parents,values
Funk Melody2000,Funk Melody,funk2000,1
Funk2000,Funk,funk2000,1
Funk Carioca2000,Funk Carioca,funk2000,1
disco2000,disco,2000,2
Disco2000,Disco,disco2000,1
Italo Disco2000,Italo Disco,disco2000,1
reggae2000,reggae,2000,1
Reggae2000,Reggae,reggae2000,1
R&B2000,R&B,2000,1
gospel2000,gospel,2000,1
Gospel2000,Gospel,gospel2000,1
dupstep2000,dupstep,2000,0
rap2000,rap,2000,5
Rap Rock2000,Rap Rock,rap2000,1
Midwest Rap2000,Midwest Rap,rap2000,1
Trap2000,Trap,rap2000,1
Pop-Rap2000,Pop-Rap,rap2000,1
Gangsta Rap2000,Gangsta Rap,rap2000,1
folk2000,folk,2000,8
Folk Punk2000,Folk Punk,folk2000,1
Italian Folk2000,Italian Folk,folk2000,1
Neofolk‏‎2000,Neofolk‏‎,folk2000,1
Neofolk2000,Neofolk,folk2000,1
Irish Folk2000,Irish Folk,folk2000,1
Folk Metal2000,Folk Metal,folk2000,1
Folk Rock2000,Folk Rock,folk2000,1
Folk2000,Folk,folk2000,1
bossa nova2000,bossa nova,2000,1
Bossa Nova2000,Bossa Nova,bossa nova2000,1
2010,2010,,856
hip hop2010,hip hop,2010,5
Hip Hop2010,Hip Hop,hip hop2010,1
French Hip Hop2010,French Hip Hop,hip hop2010,1
Political Hip Hop2010,Political Hip Hop,hip hop2010,1
Australian Hip Hop2010,Australian Hip Hop,hip hop2010,1
Alternative Hip Hop2010,Alternative Hip Hop,hip hop2010,1
pop rock2010,pop rock,2010,1
Pop Rock2010,Pop Rock,pop rock2010,1
rock2010,rock,2010,35
Rap Rock2010,Rap Rock,rock2010,1
Garage Rock2010,Garage Rock,rock2010,1
Deutschrock2010,Deutschrock,rock2010,1
Soft Rock2010,Soft Rock,rock2010,1
Blues Rock2010,Blues Rock,rock2010,1
Indie Rock2010,Indie Rock,rock2010,1
Pop Rock2010,Pop Rock,rock2010,1
Stoner Rock2010,Stoner Rock,rock2010,1
Gothic Rock2010,Gothic Rock,rock2010,1
Comedy Rock2010,Comedy Rock,rock2010,1
Art Rock2010,Art Rock,rock2010,1
Southern Rock2010,Southern Rock,rock2010,1
Hard Rock2010,Hard Rock,rock2010,1
Rock2010,Rock,rock2010,1
Christian Rock2010,Christian Rock,rock2010,1
Psychedelic Rock2010,Psychedelic Rock,rock2010,1
Country Rock2010,Country Rock,rock2010,1
Noise Rock2010,Noise Rock,rock2010,1
Arena Rock2010,Arena Rock,rock2010,1
Experimental Rock2010,Experimental Rock,rock2010,1
Rock 'N' Roll2010,Rock 'N' Roll,rock2010,1
Post-Rock2010,Post-Rock,rock2010,1
Punk Rock2010,Punk Rock,rock2010,1
Piano Rock2010,Piano Rock,rock2010,1
Alternative Rock2010,Alternative Rock,rock2010,1
Electronic Rock2010,Electronic Rock,rock2010,1
Samba-Rock2010,Samba-Rock,rock2010,1
Glam Rock2010,Glam Rock,rock2010,1
Rockabilly2010,Rockabilly,rock2010,1
Latin Rock2010,Latin Rock,rock2010,1
Industrial Rock2010,Industrial Rock,rock2010,1
Symphonic Rock2010,Symphonic Rock,rock2010,1
Brazilian Rock2010,Brazilian Rock,rock2010,1
Progressive Rock2010,Progressive Rock,rock2010,1
Folk Rock2010,Folk Rock,rock2010,1
metal2010,metal,2010,22
Progressive Metal2010,Progressive Metal,metal2010,1
Industrial Metal2010,Industrial Metal,metal2010,1
Symphonic Metal2010,Symphonic Metal,metal2010,1
Doom Metal2010,Doom Metal,metal2010,1
Avant-garde Metal2010,Avant-garde Metal,metal2010,1
Christian Metal2010,Christian Metal,metal2010,1
Pagan Metal2010,Pagan Metal,metal2010,1
Death Metal2010,Death Metal,metal2010,1
Glam Metal2010,Glam Metal,metal2010,1
Gothic Metal2010,Gothic Metal,metal2010,1
Alternative Metal2010,Alternative Metal,metal2010,1
Black Metal2010,Black Metal,metal2010,1
Folk Metal2010,Folk Metal,metal2010,1
Viking Metal2010,Viking Metal,metal2010,1
Power Metal2010,Power Metal,metal2010,1
Post-Metal2010,Post-Metal,metal2010,1
Heavy Metal2010,Heavy Metal,metal2010,1
Thrash Metal2010,Thrash Metal,metal2010,1
Technical Death Metal2010,Technical Death Metal,metal2010,1
Groove Metal2010,Groove Metal,metal2010,1
Symphonic Black Metal2010,Symphonic Black Metal,metal2010,1
Metalcore2010,Metalcore,metal2010,1
electronic2010,electronic,2010,4
Electronicore2010,Electronicore,electronic2010,1
Electronic Rock2010,Electronic Rock,electronic2010,1
Electronic2010,Electronic,electronic2010,1
Electronica2010,Electronica,electronic2010,1
pop2010,pop,2010,21
Britpop2010,Britpop,pop2010,1
J-Pop2010,J-Pop,pop2010,1
Pop Rock2010,Pop Rock,pop2010,1
Synthpop2010,Synthpop,pop2010,1
Indie Pop2010,Indie Pop,pop2010,1
Pop-Rap2010,Pop-Rap,pop2010,1
Bubblegum Pop2010,Bubblegum Pop,pop2010,1
French Pop2010,French Pop,pop2010,1
Electropop2010,Electropop,pop2010,1
Dance-Pop2010,Dance-Pop,pop2010,1
Power Pop2010,Power Pop,pop2010,1
Baroque Pop2010,Baroque Pop,pop2010,1
Latin Pop2010,Latin Pop,pop2010,1
Psychedelic Pop2010,Psychedelic Pop,pop2010,1
Classic Pop2010,Classic Pop,pop2010,1
Pop2010,Pop,pop2010,1
Dream Pop2010,Dream Pop,pop2010,1
Futurepop2010,Futurepop,pop2010,1
Pop Punk2010,Pop Punk,pop2010,1
Country Pop2010,Country Pop,pop2010,1
Europop2010,Europop,pop2010,1
country2010,country,2010,5
Country2010,Country,country2010,1
Alternative Country2010,Alternative Country,country2010,1
Country Rock2010,Country Rock,country2010,1
Country Blues2010,Country Blues,country2010,1
Country Pop2010,Country Pop,country2010,1
blues2010,blues,2010,8
Chicago Blues2010,Chicago Blues,blues2010,1
Soul Blues2010,Soul Blues,blues2010,1
Country Blues2010,Country Blues,blues2010,1
Electric Blues2010,Electric Blues,blues2010,1
Piedmont Blues2010,Piedmont Blues,blues2010,1
Blues Rock2010,Blues Rock,blues2010,1
Delta Blues2010,Delta Blues,blues2010,1
Blues2010,Blues,blues2010,1
soul2010,soul,2010,3
Soul2010,Soul,soul2010,1
Blue-Eyed Soul2010,Blue-Eyed Soul,soul2010,1
Soul Blues2010,Soul Blues,soul2010,1
classical2010,classical,2010,2
Classical2010,Classical,classical2010,1
Indian Classical Music2010,Indian Classical Music,classical2010,1
techno2010,techno,2010,1
Techno2010,Techno,techno2010,1
jazz2010,jazz,2010,4
Jazz2010,Jazz,jazz2010,1
Trad Jazz2010,Trad Jazz,jazz2010,1
Jazz Fusion2010,Jazz Fusion,jazz2010,1
Vocal Jazz2010,Vocal Jazz,jazz2010,1
punk2010,punk,2010,10
Punk Rock2010,Punk Rock,punk2010,1
Post-Punk2010,Post-Punk,punk2010,1
Folk Punk2010,Folk Punk,punk2010,1
Hardcore Punk2010,Hardcore Punk,punk2010,1
Street Punk2010,Street Punk,punk2010,1
Deutschpunk2010,Deutschpunk,punk2010,1
Pop Punk2010,Pop Punk,punk2010,1
Horror Punk2010,Horror Punk,punk2010,1
Ska Punk2010,Ska Punk,punk2010,1
Electropunk2010,Electropunk,punk2010,1
funk2010,funk,2010,3
Funk Melody2010,Funk Melody,funk2010,1
Funk2010,Funk,funk2010,1
Funk Carioca2010,Funk Carioca,funk2010,1
disco2010,disco,2010,2
Disco2010,Disco,disco2010,1
Italo Disco2010,Italo Disco,disco2010,1
reggae2010,reggae,2010,1
Reggae2010,Reggae,reggae2010,1
R&B2010,R&B,2010,1
gospel2010,gospel,2010,1
Gospel2010,Gospel,gospel2010,1
dupstep2010,dupstep,2010,0
rap2010,rap,2010,5
Rap Rock2010,Rap Rock,rap2010,1
Midwest Rap2010,Midwest Rap,rap2010,1
Trap2010,Trap,rap2010,1
Pop-Rap2010,Pop-Rap,rap2010,1
Gangsta Rap2010,Gangsta Rap,rap2010,1
folk2010,folk,2010,8
Folk Punk2010,Folk Punk,folk2010,1
Italian Folk2010,Italian Folk,folk2010,1
Neofolk‏‎2010,Neofolk‏‎,folk2010,1
Neofolk2010,Neofolk,folk2010,1
Irish Folk2010,Irish Folk,folk2010,1
Folk Metal2010,Folk Metal,folk2010,1
Folk Rock2010,Folk Rock,folk2010,1
Folk2010,Folk,folk2010,1
bossa nova2010,bossa nova,2010,1
Bossa Nova2010,Bossa Nova,bossa nova2010,1
